activemq,0.345448,0.388745,0.484838,0.793819,0.786095,0.794977,0.856108,0.85852,0.836232,0.328484,0.357009,0.388222
camel,0.287138,0.314867,0.451908,0.826519,0.811808,0.824419,0.887314,0.886854,0.853568,0.277697,0.293793,0.373556
derby,0.332549,0.370767,0.421869,0.794038,0.790476,0.798325,0.867754,0.867632,0.804573,0.268585,0.301249,0.339849
geronimo,0.173032,0.197165,0.442604,0.819975,0.797081,0.818778,0.889586,0.890905,0.879458,0.218292,0.240316,0.376696
hbase,0.488073,0.487592,0.544722,0.845013,0.819987,0.823361,0.855689,0.852123,0.829099,0.439508,0.429792,0.440025
hcommon,0.269084,0.282988,0.430519,0.882542,0.857966,0.869426,0.941991,0.942896,0.92494,0.305493,0.321238,0.391584
mahout,0.324321,0.404169,0.54487,0.832596,0.81248,0.835972,0.863143,0.865676,0.85369,0.320316,0.368393,0.460038
openjpa,0.206865,0.219353,0.391768,0.767359,0.736926,0.759875,0.892698,0.894488,0.856202,0.222455,0.239984,0.312836
pig,0.412775,0.415246,0.493756,0.821427,0.785061,0.798795,0.86918,0.869958,0.841697,0.380534,0.385433,0.401687
tuscany,0.061531,0.074218,0.359387,0.804054,0.774353,0.8116,0.93072,0.931614,0.90727,0.121646,0.149944,0.309953
,0.2900816,0.315511,0.4566241,0.8187342,0.7972233,0.8135528,0.8854183,0.8860666,0.8586729,0.288301,0.3087151,0.3794446
