datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,mcc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.387047065,0.418200801,0.452071493,0.817756015,0.805716538,0.811528429,0.86087999,0.860764011,0.859938579,0.36401677,0.378464437,0.395107639
camel,0.361227407,0.393365478,0.437278987,0.861835987,0.837746039,0.843576093,0.897335124,0.89482558,0.892615375,0.360884537,0.369215309,0.392621618
derby,0.304841978,0.328350879,0.356611209,0.81194654,0.794597501,0.799260475,0.890434783,0.8902711,0.887805627,0.307843104,0.319904599,0.328663233
geronimo,0.367241938,0.398182112,0.426199764,0.845750545,0.823427106,0.829914722,0.899182756,0.899263342,0.898217144,0.367597939,0.383948293,0.396961511
hbase,0.572331387,0.55521552,0.562650769,0.878061785,0.836903122,0.83866787,0.871216016,0.860037092,0.855160812,0.517534803,0.484073198,0.481107487
hcommon,0.342023032,0.351417313,0.376178334,0.903311943,0.874539531,0.877605642,0.945991077,0.946197909,0.946223764,0.378876789,0.385177026,0.397754789
mahout,0.440002581,0.502340949,0.532388775,0.847184888,0.829745823,0.836736702,0.868970831,0.868065951,0.868536179,0.397596347,0.435668533,0.459734993
openjpa,0.28211638,0.298198672,0.331958506,0.807692324,0.77624828,0.78573077,0.899937391,0.898932804,0.897220943,0.304151329,0.307708846,0.319911974
pig,0.480012826,0.471186625,0.489674069,0.832837601,0.793482306,0.801433447,0.876077166,0.876141681,0.875558003,0.43587537,0.431258483,0.440219085
tuscany,0.169367231,0.195476783,0.23651326,0.836579589,0.810151462,0.819250583,0.932956703,0.932799259,0.931928687,0.228298577,0.242375125,0.261396569
,0.370621182,0.391193513,0.420152517,0.844295722,0.818255771,0.824370473,0.894298184,0.892729873,0.891320511,0.366267557,0.373779385,0.38734789
