datasets,f1-ori,f1-cl,f1-cli,auc-ori,auc-cl,auc-cli,acc-ori,acc-cl,acc-cli,mcc-ori,mcc-cl,mcc-cli
activemq,0.387047065,0.430510766,0.504531583,0.817756015,0.813886564,0.818636894,0.86087999,0.861163736,0.839133995,0.36401677,0.386089304,0.408905252
camel,0.361227407,0.402483176,0.496922989,0.861835987,0.849605643,0.850887612,0.897335124,0.894981008,0.870357868,0.360884537,0.37522376,0.426292706
derby,0.304841978,0.33954715,0.447044281,0.81194654,0.805897664,0.807029289,0.890434783,0.890240409,0.853319693,0.307843104,0.326396124,0.366972315
geronimo,0.367241938,0.406730307,0.488874493,0.845750545,0.834871559,0.838735901,0.899182756,0.899288123,0.877389724,0.367597939,0.388799536,0.420078348
hbase,0.572331387,0.573831646,0.583805591,0.878061785,0.846938858,0.84133474,0.871216016,0.862725549,0.841471764,0.517534803,0.500639978,0.48684055
hcommon,0.342023032,0.368623475,0.461927361,0.903311943,0.887177244,0.886575649,0.945991077,0.946633713,0.931151941,0.378876789,0.396982812,0.425710822
mahout,0.440002581,0.510138179,0.554645237,0.847184888,0.840863395,0.845919141,0.868970831,0.868680452,0.853983476,0.397596347,0.442392481,0.470347002
openjpa,0.28211638,0.30998989,0.427490606,0.807692324,0.790381225,0.795647832,0.899937391,0.898540105,0.863474986,0.304151329,0.312534319,0.352904761
pig,0.480012826,0.489779396,0.512238088,0.832837601,0.806997028,0.809458447,0.876077166,0.876917751,0.853511563,0.43587537,0.443673027,0.427629183
tuscany,0.169367231,0.20192349,0.374150816,0.836579589,0.82735889,0.834520031,0.932956703,0.932882612,0.899976846,0.228298577,0.247283586,0.324093228
,0.370621182,0.403355747,0.485163104,0.844295722,0.830397807,0.832874554,0.894298184,0.893205346,0.868377186,0.366267557,0.382001493,0.410977417
